"TX_HASH","RECEIPT_OBJECT_ID","BLOCK_ID","BLOCK_TIMESTAMP","RECEIPT_INDEX","CHUNK_HASH","RECEIPT_ACTIONS","EXECUTION_OUTCOME","RECEIPT_OUTCOME_ID","RECEIVER_ID","SIGNER_ID","RECEIPT_TYPE","GAS_BURNT","STATUS_VALUE","LOGS","PROOF","METADATA","RECEIPT_SUCCEEDED","ERROR_TYPE_0","ERROR_TYPE_1","ERROR_TYPE_2","ERROR_MESSAGE","_LOAD_TIMESTAMP","_PARTITION_BY_BLOCK_NUMBER"
"8U2q29iSMNEsgnUtJCo8Lbe3zTwxf2qh6zbqRfMqLNuV","9j2336W3xoonyPUfxjb4QPd9kbSuaUW6Y7eMk7wPFHZz","81975726","2023-01-01 19:59:57.759","2","BoU4umG89tzhjcEuYjWDcpHQw27dCNVPs3gdm56fUost","{""predecessor_id"":""system"",""receipt"":{""Action"":{""actions"":[{""Transfer"":{""deposit"":""324178500000000000""}}],""gas_price"":""0"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""99eafced1f02b189e48cdd0a61e1f992536097f6cf0e766fac7377c69136fae8"",""signer_public_key"":""ed25519:BMqCjdzKjGYsAXPLqFKj7SYybUzYQHPGXKGKxTGxCWZD""}},""receipt_id"":""9j2336W3xoonyPUfxjb4QPd9kbSuaUW6Y7eMk7wPFHZz"",""receiver_id"":""99eafced1f02b189e48cdd0a61e1f992536097f6cf0e766fac7377c69136fae8""}","{""block_hash"":""HtmDStHNaj5Dnzpz3FABuiry9x9JfRHoHZXsiHXziyWc"",""id"":""9j2336W3xoonyPUfxjb4QPd9kbSuaUW6Y7eMk7wPFHZz"",""outcome"":{""executor_id"":""99eafced1f02b189e48cdd0a61e1f992536097f6cf0e766fac7377c69136fae8"",""gas_burnt"":424555062500,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[],""status"":{""SuccessValue"":""""},""tokens_burnt"":""0""},""proof"":[{""direction"":""Left"",""hash"":""GuqjTP23Lo7a8q7vrWTn7a5zBTDaWJdju9v8wwCY86V4""},{""direction"":""Left"",""hash"":""2eFnEzovPybi9RT5JedgcxiYkVNezL1KfDxfW1m9RaoL""}]}","[]","99eafced1f02b189e48cdd0a61e1f992536097f6cf0e766fac7377c69136fae8","99eafced1f02b189e48cdd0a61e1f992536097f6cf0e766fac7377c69136fae8","action","424555062500","{""SuccessValue"":""""}","[]","[{""direction"":""Left"",""hash"":""GuqjTP23Lo7a8q7vrWTn7a5zBTDaWJdju9v8wwCY86V4""},{""direction"":""Left"",""hash"":""2eFnEzovPybi9RT5JedgcxiYkVNezL1KfDxfW1m9RaoL""}]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","81970000"
"GW4xS3XTkHgDW91afFWdNMDgb2DUcokrsEdore5k3E4T","GVt8yya6SryuRKptMuUhCfdFEqtNKXMS678afYhAMGi6","81979899","2023-01-01 21:18:59.240","1","3jyqu2BotWH94Rxxj5RuFLGpKd24hrUAKxDpg6HvppqV","{""predecessor_id"":""7893e80b7124c0f49e9eca248ee4c34fdd80556ef52c4a9dfcda13d6acc2c918"",""receipt"":{""Action"":{""actions"":[],""gas_price"":""103000000"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""7893e80b7124c0f49e9eca248ee4c34fdd80556ef52c4a9dfcda13d6acc2c918"",""signer_public_key"":""ed25519:97gjWZ5nJEXwGm4tye3BLHEvbiSMULGsB6iqvNR4hzkf""}},""receipt_id"":""GVt8yya6SryuRKptMuUhCfdFEqtNKXMS678afYhAMGi6"",""receiver_id"":""2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near""}","{""block_hash"":""Ad5Y6MxqDSkWpe7DjJuUpFsWi6SDCn9ESRx7fk8p7w5U"",""id"":""GVt8yya6SryuRKptMuUhCfdFEqtNKXMS678afYhAMGi6"",""outcome"":{""executor_id"":""2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near"",""gas_burnt"":108059500000,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[""74CuY1bBM2ztWzxzfGLEb7x1wyde8hnYtg6ahpfng5UW""],""status"":{""SuccessValue"":""""},""tokens_burnt"":""10805950000000000000""},""proof"":[{""direction"":""Left"",""hash"":""35WyFrhSFB8ELAQGEdjAmdH9gpfmEKDW5wKUy973gZgK""}]}","[""74CuY1bBM2ztWzxzfGLEb7x1wyde8hnYtg6ahpfng5UW""]","2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near","7893e80b7124c0f49e9eca248ee4c34fdd80556ef52c4a9dfcda13d6acc2c918","action","108059500000","{""SuccessValue"":""""}","[]","[{""direction"":""Left"",""hash"":""35WyFrhSFB8ELAQGEdjAmdH9gpfmEKDW5wKUy973gZgK""}]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","81970000"
"GW4xS3XTkHgDW91afFWdNMDgb2DUcokrsEdore5k3E4T","74CuY1bBM2ztWzxzfGLEb7x1wyde8hnYtg6ahpfng5UW","81979900","2023-01-01 21:19:00.390","0","DVR1SCHrgMEbzCkUB1Vtu31iiZmL5gqVfMVfCXxsbjpo","{""predecessor_id"":""system"",""receipt"":{""Action"":{""actions"":[{""Transfer"":{""deposit"":""324178500000000000""}}],""gas_price"":""0"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""7893e80b7124c0f49e9eca248ee4c34fdd80556ef52c4a9dfcda13d6acc2c918"",""signer_public_key"":""ed25519:97gjWZ5nJEXwGm4tye3BLHEvbiSMULGsB6iqvNR4hzkf""}},""receipt_id"":""74CuY1bBM2ztWzxzfGLEb7x1wyde8hnYtg6ahpfng5UW"",""receiver_id"":""7893e80b7124c0f49e9eca248ee4c34fdd80556ef52c4a9dfcda13d6acc2c918""}","{""block_hash"":""Dmret5PoEmCJtmGpWYZD7SuxfBjgS5BkAy4SZwHa17AB"",""id"":""74CuY1bBM2ztWzxzfGLEb7x1wyde8hnYtg6ahpfng5UW"",""outcome"":{""executor_id"":""7893e80b7124c0f49e9eca248ee4c34fdd80556ef52c4a9dfcda13d6acc2c918"",""gas_burnt"":424555062500,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[],""status"":{""SuccessValue"":""""},""tokens_burnt"":""0""},""proof"":[{""direction"":""Right"",""hash"":""GYtsngctS9LPisj5nJkcY4pZYXyAihXUTqiGuzJ8kcYV""},{""direction"":""Right"",""hash"":""2zcq3cfCLe9S2yt1jHSZgPZUvzhT8ZvcPTDPjA8wkS2m""},{""direction"":""Right"",""hash"":""A49TMFjnstWXJD9utkhKiGsF22BKCDJW5UDme8vcrh59""}]}","[]","7893e80b7124c0f49e9eca248ee4c34fdd80556ef52c4a9dfcda13d6acc2c918","7893e80b7124c0f49e9eca248ee4c34fdd80556ef52c4a9dfcda13d6acc2c918","action","424555062500","{""SuccessValue"":""""}","[]","[{""direction"":""Right"",""hash"":""GYtsngctS9LPisj5nJkcY4pZYXyAihXUTqiGuzJ8kcYV""},{""direction"":""Right"",""hash"":""2zcq3cfCLe9S2yt1jHSZgPZUvzhT8ZvcPTDPjA8wkS2m""},{""direction"":""Right"",""hash"":""A49TMFjnstWXJD9utkhKiGsF22BKCDJW5UDme8vcrh59""}]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","81970000"
"Et4S19bATs1ACMM35SzJyfqBfMfAgJKeHBAsPaeghw97","3H3iGdpKGRzpM4FJPeJKdPagAaTThKH8y7Vz583phSS7","81985761","2023-01-01 23:09:06.390","0","G3Pq9TBPuM6SwvhvPxZ1GFEStWwr9hFbUnUoK4sQUf8","{""predecessor_id"":""d4110961779d48ddb3ce149592562526ea00a583a8d1e853baf87c6457894eab"",""receipt"":{""Action"":{""actions"":[],""gas_price"":""103000000"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""d4110961779d48ddb3ce149592562526ea00a583a8d1e853baf87c6457894eab"",""signer_public_key"":""ed25519:FGpVxNfbT59f9TMW62AMMTqAsie1Kz5L7h7Ga4ztnuZ4""}},""receipt_id"":""3H3iGdpKGRzpM4FJPeJKdPagAaTThKH8y7Vz583phSS7"",""receiver_id"":""aurora""}","{""block_hash"":""Cs583YkkD1yw97y5vra5rXwUWeC7hZdZNUhidrBPiiPc"",""id"":""3H3iGdpKGRzpM4FJPeJKdPagAaTThKH8y7Vz583phSS7"",""outcome"":{""executor_id"":""aurora"",""gas_burnt"":108059500000,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[""JD5Wfvu4ZfLtu79KJ2hTdeTmbUZz6VzC3CRgmuENdP3M""],""status"":{""SuccessValue"":""""},""tokens_burnt"":""10805950000000000000""},""proof"":[]}","[""JD5Wfvu4ZfLtu79KJ2hTdeTmbUZz6VzC3CRgmuENdP3M""]","aurora","d4110961779d48ddb3ce149592562526ea00a583a8d1e853baf87c6457894eab","action","108059500000","{""SuccessValue"":""""}","[]","[]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","81980000"
"Et4S19bATs1ACMM35SzJyfqBfMfAgJKeHBAsPaeghw97","JD5Wfvu4ZfLtu79KJ2hTdeTmbUZz6VzC3CRgmuENdP3M","81985762","2023-01-01 23:09:07.439","0","2Vy2qg4QfWncK51Eu5u2xzs8FMiusteoJGqoUaMMtSHz","{""predecessor_id"":""system"",""receipt"":{""Action"":{""actions"":[{""Transfer"":{""deposit"":""324178500000000000""}}],""gas_price"":""0"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""d4110961779d48ddb3ce149592562526ea00a583a8d1e853baf87c6457894eab"",""signer_public_key"":""ed25519:FGpVxNfbT59f9TMW62AMMTqAsie1Kz5L7h7Ga4ztnuZ4""}},""receipt_id"":""JD5Wfvu4ZfLtu79KJ2hTdeTmbUZz6VzC3CRgmuENdP3M"",""receiver_id"":""d4110961779d48ddb3ce149592562526ea00a583a8d1e853baf87c6457894eab""}","{""block_hash"":""2dkLng7f25mSAfMJhkgrSEzPVRymx3kW9qP2mX4LUnc9"",""id"":""JD5Wfvu4ZfLtu79KJ2hTdeTmbUZz6VzC3CRgmuENdP3M"",""outcome"":{""executor_id"":""d4110961779d48ddb3ce149592562526ea00a583a8d1e853baf87c6457894eab"",""gas_burnt"":424555062500,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[],""status"":{""SuccessValue"":""""},""tokens_burnt"":""0""},""proof"":[{""direction"":""Right"",""hash"":""BpXyWLcYGaPKVhobpodPL979Xwd9HkHVcqxDFkP4ynKL""}]}","[]","d4110961779d48ddb3ce149592562526ea00a583a8d1e853baf87c6457894eab","d4110961779d48ddb3ce149592562526ea00a583a8d1e853baf87c6457894eab","action","424555062500","{""SuccessValue"":""""}","[]","[{""direction"":""Right"",""hash"":""BpXyWLcYGaPKVhobpodPL979Xwd9HkHVcqxDFkP4ynKL""}]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","81980000"
"6HzNvvqUk3nu3FskhcLqRbzv8Ex5oL7nttvMxasvAPoX","tXATQE8JDjN2m1DFQQBiLpuuknFDqJWFwuQg7sMCazc","81990303","2023-01-02 00:34:05.894","0","3bytt8xM7uxc3tcWhK9rs7ApFQrTKH5M8WQTrognHDRY","{""predecessor_id"":""8ce2b209f2d8a070f480dd0748e49ef46db17ffb350e92115b9882db51f22e9d"",""receipt"":{""Action"":{""actions"":[],""gas_price"":""103000000"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""8ce2b209f2d8a070f480dd0748e49ef46db17ffb350e92115b9882db51f22e9d"",""signer_public_key"":""ed25519:AUxZxn1b8FQtZWnnigoQUWf5kdntxLKbXcv4rKsJymdv""}},""receipt_id"":""tXATQE8JDjN2m1DFQQBiLpuuknFDqJWFwuQg7sMCazc"",""receiver_id"":""aurora""}","{""block_hash"":""2FcDDnWrSHxeMEJWjQjCaTiV45jcfShLW26bzR1mGbnM"",""id"":""tXATQE8JDjN2m1DFQQBiLpuuknFDqJWFwuQg7sMCazc"",""outcome"":{""executor_id"":""aurora"",""gas_burnt"":108059500000,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[""FGepJKJ4NdsJ8Mtx1ZNJuZLiFbNLiZhWDXr5CRcU4ZUM""],""status"":{""SuccessValue"":""""},""tokens_burnt"":""10805950000000000000""},""proof"":[]}","[""FGepJKJ4NdsJ8Mtx1ZNJuZLiFbNLiZhWDXr5CRcU4ZUM""]","aurora","8ce2b209f2d8a070f480dd0748e49ef46db17ffb350e92115b9882db51f22e9d","action","108059500000","{""SuccessValue"":""""}","[]","[]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","81990000"
"6HzNvvqUk3nu3FskhcLqRbzv8Ex5oL7nttvMxasvAPoX","FGepJKJ4NdsJ8Mtx1ZNJuZLiFbNLiZhWDXr5CRcU4ZUM","81990304","2023-01-02 00:34:06.874","0","Fv93QbhiPDiwmJhCtR8FBjTUF782McydgJrfH5GSZ32S","{""predecessor_id"":""system"",""receipt"":{""Action"":{""actions"":[{""Transfer"":{""deposit"":""324178500000000000""}}],""gas_price"":""0"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""8ce2b209f2d8a070f480dd0748e49ef46db17ffb350e92115b9882db51f22e9d"",""signer_public_key"":""ed25519:AUxZxn1b8FQtZWnnigoQUWf5kdntxLKbXcv4rKsJymdv""}},""receipt_id"":""FGepJKJ4NdsJ8Mtx1ZNJuZLiFbNLiZhWDXr5CRcU4ZUM"",""receiver_id"":""8ce2b209f2d8a070f480dd0748e49ef46db17ffb350e92115b9882db51f22e9d""}","{""block_hash"":""APrFAxLtVUQyZsV1t6gZvGVqEbHFvSVf6b9qjr3W3SJb"",""id"":""FGepJKJ4NdsJ8Mtx1ZNJuZLiFbNLiZhWDXr5CRcU4ZUM"",""outcome"":{""executor_id"":""8ce2b209f2d8a070f480dd0748e49ef46db17ffb350e92115b9882db51f22e9d"",""gas_burnt"":424555062500,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[],""status"":{""SuccessValue"":""""},""tokens_burnt"":""0""},""proof"":[{""direction"":""Left"",""hash"":""F52HfCbVCPYsH434xdXoqtH2Tcuwmw9vRU2yR5kP26BS""}]}","[]","8ce2b209f2d8a070f480dd0748e49ef46db17ffb350e92115b9882db51f22e9d","8ce2b209f2d8a070f480dd0748e49ef46db17ffb350e92115b9882db51f22e9d","action","424555062500","{""SuccessValue"":""""}","[]","[{""direction"":""Left"",""hash"":""F52HfCbVCPYsH434xdXoqtH2Tcuwmw9vRU2yR5kP26BS""}]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","81990000"
"3L2mkZDXe152VNnhfp2MJYoB4U9DXCyzZayDRkuWPbfB","GoHCd5D1PF1MN4Een2z58Jb7tSAJmWneT41WsLKQ763t","82001989","2023-01-02 04:12:24.417","0","Af8M54VFqgRCPhZD7db6h7QSu5K8WotqNSWL9chiyv2","{""predecessor_id"":""fishteri.near"",""receipt"":{""Action"":{""actions"":[],""gas_price"":""103000000"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""fishteri.near"",""signer_public_key"":""ed25519:EBm5DVZL6udkDi4cEYbb7twtTiX85Uq54asNnCKkARUX""}},""receipt_id"":""GoHCd5D1PF1MN4Een2z58Jb7tSAJmWneT41WsLKQ763t"",""receiver_id"":""token.elcafecartel.near""}","{""block_hash"":""Gfk8z3sT1xkQgBP8iLDqDYJqMRWnNdVcoHSS2GErmM4X"",""id"":""GoHCd5D1PF1MN4Een2z58Jb7tSAJmWneT41WsLKQ763t"",""outcome"":{""executor_id"":""token.elcafecartel.near"",""gas_burnt"":108059500000,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[""3HLEh6LBNevncoFWQpbyHTK6K8PQSmzzDhi3L3tNb33u""],""status"":{""SuccessValue"":""""},""tokens_burnt"":""10805950000000000000""},""proof"":[{""direction"":""Left"",""hash"":""2Mk3NoAbvn8c3NaAqhQEYJHEnhy3YRrYCs8nsFFF9T4S""},{""direction"":""Left"",""hash"":""E8xBX4uxe2JgjbAXT97JMCtxUXATkHDXcxRMQBKLLHih""},{""direction"":""Right"",""hash"":""78QCauMJo9FVq5fcmjbHhSsSnNKJub7NNZfUWvycw7Gt""},{""direction"":""Right"",""hash"":""FyhQoPBo7HgEww2MKfnXLgdmRmMaV2Rk2hwRLjr6bwRS""}]}","[""3HLEh6LBNevncoFWQpbyHTK6K8PQSmzzDhi3L3tNb33u""]","token.elcafecartel.near","fishteri.near","action","108059500000","{""SuccessValue"":""""}","[]","[{""direction"":""Left"",""hash"":""2Mk3NoAbvn8c3NaAqhQEYJHEnhy3YRrYCs8nsFFF9T4S""},{""direction"":""Left"",""hash"":""E8xBX4uxe2JgjbAXT97JMCtxUXATkHDXcxRMQBKLLHih""},{""direction"":""Right"",""hash"":""78QCauMJo9FVq5fcmjbHhSsSnNKJub7NNZfUWvycw7Gt""},{""direction"":""Right"",""hash"":""FyhQoPBo7HgEww2MKfnXLgdmRmMaV2Rk2hwRLjr6bwRS""}]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","82000000"
"3L2mkZDXe152VNnhfp2MJYoB4U9DXCyzZayDRkuWPbfB","3HLEh6LBNevncoFWQpbyHTK6K8PQSmzzDhi3L3tNb33u","82001990","2023-01-02 04:12:25.271","0","5jDqm8vvQGTWCaNsBiLq9EQU4tzbxL19GP84U7aKF7Ry","{""predecessor_id"":""system"",""receipt"":{""Action"":{""actions"":[{""Transfer"":{""deposit"":""324178500000000000""}}],""gas_price"":""0"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""fishteri.near"",""signer_public_key"":""ed25519:EBm5DVZL6udkDi4cEYbb7twtTiX85Uq54asNnCKkARUX""}},""receipt_id"":""3HLEh6LBNevncoFWQpbyHTK6K8PQSmzzDhi3L3tNb33u"",""receiver_id"":""fishteri.near""}","{""block_hash"":""8yox8uSzZwabDP7PLHKuynPjmYx1JPnMYnKRRZKrKMRF"",""id"":""3HLEh6LBNevncoFWQpbyHTK6K8PQSmzzDhi3L3tNb33u"",""outcome"":{""executor_id"":""fishteri.near"",""gas_burnt"":223182562500,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[],""status"":{""SuccessValue"":""""},""tokens_burnt"":""0""},""proof"":[{""direction"":""Left"",""hash"":""8rtc2BTPsahKAKdPhFcpAywFcdfoySAB8LGUeMUFjGsi""},{""direction"":""Right"",""hash"":""Hvk8S9nczuUoAZB3BargWMNjoUwR4wEVyfiMdPmYwDtc""}]}","[]","fishteri.near","fishteri.near","action","223182562500","{""SuccessValue"":""""}","[]","[{""direction"":""Left"",""hash"":""8rtc2BTPsahKAKdPhFcpAywFcdfoySAB8LGUeMUFjGsi""},{""direction"":""Right"",""hash"":""Hvk8S9nczuUoAZB3BargWMNjoUwR4wEVyfiMdPmYwDtc""}]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","82000000"
"2LdzAXCjaGQ68FP8hznS4zwYndWkEa7EwCgm3buu37Qj","55dx7RZLaZvX1NwgQmdKt3GCZie4u5fXyWEkwNHS7ocy","82003753","2023-01-02 04:45:13.415","0","B9HkWxkt7WQA3QEkGF1YGdoxD5N9gMaDsMLqL9c64ck5","{""predecessor_id"":""fd8e13fc5f5a044ff698c820045cc119f590190ae204d37f0abc48e4eda8ada5"",""receipt"":{""Action"":{""actions"":[],""gas_price"":""103000000"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""fd8e13fc5f5a044ff698c820045cc119f590190ae204d37f0abc48e4eda8ada5"",""signer_public_key"":""ed25519:J4moXG54EzV7heGACpDgewuwRWQpFAzxSQPzAxxKzbvt""}},""receipt_id"":""55dx7RZLaZvX1NwgQmdKt3GCZie4u5fXyWEkwNHS7ocy"",""receiver_id"":""aurora""}","{""block_hash"":""AEUctqNn5nbQfj65xD5F78jrdSKvW1iYxVZtLKRZ3SpT"",""id"":""55dx7RZLaZvX1NwgQmdKt3GCZie4u5fXyWEkwNHS7ocy"",""outcome"":{""executor_id"":""aurora"",""gas_burnt"":108059500000,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[""51Y6bkoiXm4JmXtZkwQgaZX9uxNHzK5goYHoJQejoX3m""],""status"":{""SuccessValue"":""""},""tokens_burnt"":""10805950000000000000""},""proof"":[]}","[""51Y6bkoiXm4JmXtZkwQgaZX9uxNHzK5goYHoJQejoX3m""]","aurora","fd8e13fc5f5a044ff698c820045cc119f590190ae204d37f0abc48e4eda8ada5","action","108059500000","{""SuccessValue"":""""}","[]","[]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","82000000"
"2LdzAXCjaGQ68FP8hznS4zwYndWkEa7EwCgm3buu37Qj","51Y6bkoiXm4JmXtZkwQgaZX9uxNHzK5goYHoJQejoX3m","82003754","2023-01-02 04:45:14.652","0","EgWHGnyogvZdAN9a92nEjQ2awar5XkkBtLdxJNudbZqG","{""predecessor_id"":""system"",""receipt"":{""Action"":{""actions"":[{""Transfer"":{""deposit"":""324178500000000000""}}],""gas_price"":""0"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""fd8e13fc5f5a044ff698c820045cc119f590190ae204d37f0abc48e4eda8ada5"",""signer_public_key"":""ed25519:J4moXG54EzV7heGACpDgewuwRWQpFAzxSQPzAxxKzbvt""}},""receipt_id"":""51Y6bkoiXm4JmXtZkwQgaZX9uxNHzK5goYHoJQejoX3m"",""receiver_id"":""fd8e13fc5f5a044ff698c820045cc119f590190ae204d37f0abc48e4eda8ada5""}","{""block_hash"":""Q52sf36dB6j2SSTNxYoPyvPH5WfVgBmQ6poLdTwx7hT"",""id"":""51Y6bkoiXm4JmXtZkwQgaZX9uxNHzK5goYHoJQejoX3m"",""outcome"":{""executor_id"":""fd8e13fc5f5a044ff698c820045cc119f590190ae204d37f0abc48e4eda8ada5"",""gas_burnt"":424555062500,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[],""status"":{""SuccessValue"":""""},""tokens_burnt"":""0""},""proof"":[]}","[]","fd8e13fc5f5a044ff698c820045cc119f590190ae204d37f0abc48e4eda8ada5","fd8e13fc5f5a044ff698c820045cc119f590190ae204d37f0abc48e4eda8ada5","action","424555062500","{""SuccessValue"":""""}","[]","[]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","82000000"
"3jL3RdcTzXipjLyfaurXwW9b2jKDtqgTzXQAYqVQCKiv","GE7nAXRxbghQtniMZ2k7j4aN5tjgo4SSPZcM3EXSxVtP","82007270","2023-01-02 05:51:03.998","4","8tfe1FZqa3SFvmyYNB6vMbLzH5B5vHchRBqZ6VWewZoW","{""predecessor_id"":""kingacrypto.near"",""receipt"":{""Action"":{""actions"":[],""gas_price"":""103000000"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""kingacrypto.near"",""signer_public_key"":""ed25519:95owE4Hb2JpoaXLwZuy9tPtt5vWWuve4Xno3R6ngNd9R""}},""receipt_id"":""GE7nAXRxbghQtniMZ2k7j4aN5tjgo4SSPZcM3EXSxVtP"",""receiver_id"":""token.elcafecartel.near""}","{""block_hash"":""D43raLiKjLMAz2NCKD8nbfRUHCP8iN1uVFLJkXSSAQtH"",""id"":""GE7nAXRxbghQtniMZ2k7j4aN5tjgo4SSPZcM3EXSxVtP"",""outcome"":{""executor_id"":""token.elcafecartel.near"",""gas_burnt"":108059500000,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[""9VMRUsVqzSmH7kC2YXUnyASNmwEWMCk32h2hhhhV2hze""],""status"":{""SuccessValue"":""""},""tokens_burnt"":""10805950000000000000""},""proof"":[{""direction"":""Right"",""hash"":""Ab1WznUCNjPsCedLDfDkaTU1FzWcjuaqPxeA9CSu2LXz""},{""direction"":""Left"",""hash"":""BUKENYdU6W5cr9ZFDohqLoag2VeBHatpHQMrcKJRKdrH""},{""direction"":""Left"",""hash"":""4ovmmjwZqa7VLLtZxMZRTAo6tVdJtDMMG9xQz3oTyx95""}]}","[""9VMRUsVqzSmH7kC2YXUnyASNmwEWMCk32h2hhhhV2hze""]","token.elcafecartel.near","kingacrypto.near","action","108059500000","{""SuccessValue"":""""}","[]","[{""direction"":""Right"",""hash"":""Ab1WznUCNjPsCedLDfDkaTU1FzWcjuaqPxeA9CSu2LXz""},{""direction"":""Left"",""hash"":""BUKENYdU6W5cr9ZFDohqLoag2VeBHatpHQMrcKJRKdrH""},{""direction"":""Left"",""hash"":""4ovmmjwZqa7VLLtZxMZRTAo6tVdJtDMMG9xQz3oTyx95""}]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","82000000"
"3jL3RdcTzXipjLyfaurXwW9b2jKDtqgTzXQAYqVQCKiv","9VMRUsVqzSmH7kC2YXUnyASNmwEWMCk32h2hhhhV2hze","82007271","2023-01-02 05:51:04.999","0","HVUFD2a4dbjPhPdCu4RqUmY9SGP15j6jWJnNHVDDYkv6","{""predecessor_id"":""system"",""receipt"":{""Action"":{""actions"":[{""Transfer"":{""deposit"":""324178500000000000""}}],""gas_price"":""0"",""input_data_ids"":[],""output_data_receivers"":[],""signer_id"":""kingacrypto.near"",""signer_public_key"":""ed25519:95owE4Hb2JpoaXLwZuy9tPtt5vWWuve4Xno3R6ngNd9R""}},""receipt_id"":""9VMRUsVqzSmH7kC2YXUnyASNmwEWMCk32h2hhhhV2hze"",""receiver_id"":""kingacrypto.near""}","{""block_hash"":""7QHHVoHoF89qZA1c8MRE1fb9cqSLadhHZ8u75RbYLFWy"",""id"":""9VMRUsVqzSmH7kC2YXUnyASNmwEWMCk32h2hhhhV2hze"",""outcome"":{""executor_id"":""kingacrypto.near"",""gas_burnt"":223182562500,""logs"":[],""metadata"":{""gas_profile"":[],""version"":1},""receipt_ids"":[],""status"":{""SuccessValue"":""""},""tokens_burnt"":""0""},""proof"":[{""direction"":""Right"",""hash"":""EcnZtgmEHxMRM32BnCjjzTNMUFLhxAQ7HDcGmh58o2FB""}]}","[]","kingacrypto.near","kingacrypto.near","action","223182562500","{""SuccessValue"":""""}","[]","[{""direction"":""Right"",""hash"":""EcnZtgmEHxMRM32BnCjjzTNMUFLhxAQ7HDcGmh58o2FB""}]","{""gas_profile"":[],""version"":1}",true,,,,,"2023-01-05 05:01:24.202","82000000"
